<<<<<<< HEAD:sepsisRam/scalability_50.csv
num_users,user_id,start_time,end_time,status,details,ram_avg_bytes
50,2,1752697636.2592607,1752697636.7492168,SUCCESS,200,8783017.00
50,1,1752697636.257026,1752697637.2310197,SUCCESS,200,10420521.83
50,3,1752697636.261312,1752697637.705701,SUCCESS,200,9853999.83
50,4,1752697636.263162,1752697638.1897264,SUCCESS,200,9678098.33
50,6,1752697636.2665713,1752697638.6762621,SUCCESS,200,8793545.50
50,5,1752697636.265232,1752697639.1626172,SUCCESS,200,9724997.67
50,10,1752697636.2710612,1752697639.6432612,SUCCESS,200,9646645.33
50,8,1752697636.2692134,1752697640.132106,SUCCESS,200,9834455.67
50,9,1752697636.2706242,1752697640.6187663,SUCCESS,200,9074859.00
50,11,1752697636.2732637,1752697641.1083326,SUCCESS,200,9709370.33
50,7,1752697636.2676396,1752697641.5885808,SUCCESS,200,9299762.04
50,14,1752697636.277311,1752697642.0693297,SUCCESS,200,9918266.04
50,15,1752697636.2782903,1752697642.5568883,SUCCESS,200,9165577.17
50,17,1752697636.2803063,1752697643.0482213,SUCCESS,200,9435590.37
50,13,1752697636.2764025,1752697643.5295684,SUCCESS,200,10192901.50
50,12,1752697636.275281,1752697644.0203757,SUCCESS,200,9094836.17
50,16,1752697636.2797785,1752697644.5015893,SUCCESS,200,9395369.67
50,18,1752697636.2826838,1752697644.9862397,SUCCESS,200,9514569.33
50,22,1752697636.2884128,1752697645.4706225,SUCCESS,200,9963417.83
50,19,1752697636.2836933,1752697645.9587014,SUCCESS,200,8960715.67
50,23,1752697636.2901986,1752697646.4396431,SUCCESS,200,8839899.33
50,20,1752697636.2854748,1752697646.9277809,SUCCESS,200,9248030.67
50,21,1752697636.2870684,1752697647.4267867,SUCCESS,200,8583195.27
50,25,1752697636.2928991,1752697647.9208026,SUCCESS,200,9996821.55
50,24,1752697636.2914152,1752697648.4083636,SUCCESS,200,9132895.50
50,27,1752697636.2960443,1752697648.8896239,SUCCESS,200,10468080.67
50,28,1752697636.2974348,1752697649.383332,SUCCESS,200,9396596.24
50,26,1752697636.2944043,1752697649.8677032,SUCCESS,200,10045060.83
50,31,1752697636.3012576,1752697650.3531666,SUCCESS,200,8789107.17
50,29,1752697636.2989533,1752697650.8380613,SUCCESS,200,9615430.67
50,30,1752697636.3001173,1752697651.3204653,SUCCESS,200,10165678.50
50,32,1752697636.302564,1752697651.8055403,SUCCESS,200,9569549.83
50,34,1752697636.3054643,1752697652.294712,SUCCESS,200,9369521.50
50,35,1752697636.3066742,1752697652.7818677,SUCCESS,200,9253359.50
50,33,1752697636.3039858,1752697653.2726958,SUCCESS,200,9869193.14
50,36,1752697636.3082197,1752697653.7666192,SUCCESS,200,8496825.47
50,37,1752697636.3094618,1752697654.2527215,SUCCESS,200,9506389.83
50,39,1752697636.312224,1752697654.7363663,SUCCESS,200,8555384.33
50,38,1752697636.3112338,1752697655.2187603,SUCCESS,200,9693101.50
50,40,1752697636.3132987,1752697655.7042603,SUCCESS,200,9576566.83
50,41,1752697636.3145773,1752697656.1868367,SUCCESS,200,9341780.67
50,42,1752697636.3154268,1752697656.677022,SUCCESS,200,8690853.06
50,43,1752697636.3162615,1752697657.1635885,SUCCESS,200,8647355.33
50,44,1752697636.317236,1752697657.6546385,SUCCESS,200,9693508.24
50,46,1752697636.3189018,1752697658.1420176,SUCCESS,200,9375174.00
50,48,1752697636.3204262,1752697658.6324866,SUCCESS,200,8943799.17
50,45,1752697636.3180954,1752697659.1181142,SUCCESS,200,9383485.83
50,49,1752697636.321093,1752697659.605989,SUCCESS,200,9720766.33
50,47,1752697636.3196971,1752697660.0869524,SUCCESS,200,9915605.50
50,50,1752697636.32231,1752697660.567403,SUCCESS,200,8452376.85
=======
num_users,user_id,start_time,end_time,status,details,ram_avg_bytes
50,2,1752698755.2769222,1752698757.5028708,SUCCESS,200,48075751.28
50,1,1752698755.2746353,1752698759.7281938,SUCCESS,200,52992088.83
50,3,1752698755.2790017,1752698762.0332463,SUCCESS,200,54075096.90
50,4,1752698755.2803216,1752698764.2573338,SUCCESS,200,51149389.33
50,7,1752698755.28515,1752698766.4704971,SUCCESS,200,55713240.00
50,5,1752698755.2820022,1752698768.6863477,SUCCESS,200,55109730.14
50,8,1752698755.2861226,1752698770.9064941,SUCCESS,200,59766892.18
50,9,1752698755.2880716,1752698773.1195474,SUCCESS,200,53015218.90
50,10,1752698755.2889583,1752698775.330427,SUCCESS,200,53648945.48
50,13,1752698755.2918584,1752698777.592709,SUCCESS,200,51711637.13
50,12,1752698755.290925,1752698779.8128595,SUCCESS,200,59700539.51
50,15,1752698755.2948081,1752698782.027423,SUCCESS,200,54183090.86
50,16,1752698755.2957468,1752698784.2695878,SUCCESS,200,48978385.43
50,6,1752698755.283252,1752698786.4900806,SUCCESS,200,59227398.88
50,14,1752698755.2936268,1752698788.6985154,SUCCESS,200,61300733.56
50,11,1752698755.290174,1752698790.9460728,SUCCESS,200,55224621.96
50,17,1752698755.2984657,1752698793.161323,SUCCESS,200,57035197.39
50,18,1752698755.2997484,1752698795.3764904,SUCCESS,200,61583974.84
50,19,1752698755.30114,1752698797.581529,SUCCESS,200,58838889.67
50,21,1752698755.3031118,1752698799.8040688,SUCCESS,200,51625104.00
50,22,1752698755.3038116,1752698802.0293326,SUCCESS,200,50023041.51
50,20,1752698755.3021412,1752698804.245338,SUCCESS,200,57840309.61
50,25,1752698755.3071544,1752698806.5368962,SUCCESS,200,61256455.37
50,24,1752698755.3063047,1752698808.7705445,SUCCESS,200,50615847.82
50,26,1752698755.3080535,1752698810.9931912,SUCCESS,200,56971873.69
50,23,1752698755.3054204,1752698813.2620287,SUCCESS,200,50176399.61
50,27,1752698755.3091133,1752698815.6691806,SUCCESS,200,54136989.87
50,28,1752698755.310297,1752698817.890412,SUCCESS,200,55272022.23
50,30,1752698755.311816,1752698820.1425455,SUCCESS,200,51694928.64
